op_name                                    inp_size   kernel_size   in channels  out channels  params(MBytes)   mults(M)    adds(M)     MFLOPS
SNB7_hardswish1__plusscalar0                     28            -1            80            80           0.000      0.000      0.063      0.063
SNB7_hardswish1__clip                            28            -1            80            80           0.000      0.063      0.000      0.063
SNB7_hardswish1__divscalar0                      28            -1            80            80           0.000      0.063      0.000      0.063
SNB7_hardswish1__mul0                            28            -1            80            80           0.000      0.063      0.000      0.063
SNB8_conv3_fwd                                   28             7           160             1           0.016      1.537      1.505      3.042
SNB8_conv4_fwd                                   14             1           160           160           0.051      5.018      4.986     10.004
SNB8_hardswish2__plusscalar0                     14            -1           160           160           0.000      0.000      0.031      0.031
SNB8_hardswish2__clip                            14            -1           160           160           0.000      0.031      0.000      0.031
SNB8_hardswish2__divscalar0                      14            -1           160           160           0.000      0.031      0.000      0.031
SNB8_hardswish2__mul0                            14            -1           160           160           0.000      0.031      0.000      0.031
SNB8_conv0_fwd                                   28             1           160            96           0.031     12.042     11.967     24.009
SNB8_hardswish0__plusscalar0                     28            -1            96            96           0.000      0.000      0.075      0.075
SNB8_hardswish0__clip                            28            -1            96            96           0.000      0.075      0.000      0.075
SNB8_hardswish0__divscalar0                      28            -1            96            96           0.000      0.075      0.000      0.075
SNB8_hardswish0__mul0                            28            -1            96            96           0.000      0.075      0.000      0.075
SNB8_conv1_fwd                                   28             7            96             1           0.009      0.922      0.903      1.825
SNB8_conv2_fwd                                   14             1            96           160           0.031      3.011      2.979      5.990
SNB8_hardswish1__plusscalar0                     14            -1           160           160           0.000      0.000      0.031      0.031
SNB8_hardswish1__clip                            14            -1           160           160           0.000      0.031      0.000      0.031
SNB8_hardswish1__divscalar0                      14            -1           160           160           0.000      0.031      0.000      0.031
SNB8_hardswish1__mul0                            14            -1           160           160           0.000      0.031      0.000      0.031
SNB8_se0_pool0_fwd                               14            -1           160             1           0.000      0.000      0.031      0.031
SNB8_se0_conv_squeeze_fwd                         1             1           160            40           0.013      0.006      0.006      0.013
SNB8_se0_relu0_fwd                                1            -1            40            40           0.000      0.000      0.000      0.000
SNB8_se0_conv_excitation_fwd                      1             1            40           160           0.013      0.006      0.006      0.013
SNB8_se0_hardsigmoid0__plusscalar0                1            -1           160           160           0.000      0.000      0.000      0.000
SNB8_se0_hardsigmoid0__clip                       1            -1           160           160           0.000      0.000      0.000      0.000
SNB8_se0_hardsigmoid0__divscalar0                 1            -1           160           160           0.000      0.000      0.000      0.000
SNB9_conv0_fwd                                   14             1           160           192           0.061      6.021      5.983     12.005
SNB9_hardswish0__plusscalar0                     14            -1           192           192           0.000      0.000      0.038      0.038
SNB9_hardswish0__clip                            14            -1           192           192           0.000      0.038      0.000      0.038
SNB9_hardswish0__divscalar0                      14            -1           192           192           0.000      0.038      0.000      0.038
SNB9_hardswish0__mul0                            14            -1           192           192           0.000      0.038      0.000      0.038
SNB9_conv1_fwd                                   14             3           192             1           0.003      0.339      0.301      0.640
SNB9_conv2_fwd                                   14             1           192           160           0.061      6.021      5.990     12.011
SNB9_hardswish1__plusscalar0                     14            -1           160           160           0.000      0.000      0.031      0.031
SNB9_hardswish1__clip                            14            -1           160           160           0.000      0.031      0.000      0.031
SNB9_hardswish1__divscalar0                      14            -1           160           160           0.000      0.031      0.000      0.031
SNB9_hardswish1__mul0                            14            -1           160           160           0.000      0.031      0.000      0.031
SNB9_se0_pool0_fwd                               14            -1           160             1           0.000      0.000      0.031      0.031
SNB9_se0_conv_squeeze_fwd                         1             1           160            40           0.013      0.006      0.006      0.013
SNB9_se0_relu0_fwd                                1            -1            40            40           0.000      0.000      0.000      0.000
SNB9_se0_conv_excitation_fwd                      1             1            40           160           0.013      0.006      0.006      0.013
SNB9_se0_hardsigmoid0__plusscalar0                1            -1           160           160           0.000      0.000      0.000      0.000
SNB9_se0_hardsigmoid0__clip                       1            -1           160           160           0.000      0.000      0.000      0.000
SNB9_se0_hardsigmoid0__divscalar0                 1            -1           160           160           0.000      0.000      0.000      0.000
SNB10_conv0_fwd                                  14             1           160           256           0.082      8.028      7.978     16.006
SNB10_hardswish0__plusscalar0                    14            -1           256           256           0.000      0.000      0.050      0.050
SNB10_hardswish0__clip                           14            -1           256           256           0.000      0.050      0.000      0.050
SNB10_hardswish0__divscalar0                     14            -1           256           256           0.000      0.050      0.000      0.050
SNB10_hardswish0__mul0                           14            -1           256           256           0.000      0.050      0.000      0.050
SNB10_conv1_fwd                                  14             7           256             1           0.025      2.459      2.408      4.867
SNB10_conv2_fwd                                  14             1           256           160           0.082      8.028      7.997     16.025
SNB10_hardswish1__plusscalar0                    14            -1           160           160           0.000      0.000      0.031      0.031
SNB10_hardswish1__clip                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB10_hardswish1__divscalar0                     14            -1           160           160           0.000      0.031      0.000      0.031
SNB10_hardswish1__mul0                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB10_se0_pool0_fwd                              14            -1           160             1           0.000      0.000      0.031      0.031
SNB10_se0_conv_squeeze_fwd                        1             1           160            40           0.013      0.006      0.006      0.013
SNB10_se0_relu0_fwd                               1            -1            40            40           0.000      0.000      0.000      0.000
SNB10_se0_conv_excitation_fwd                     1             1            40           160           0.013      0.006      0.006      0.013
SNB10_se0_hardsigmoid0__plusscalar0               1            -1           160           160           0.000      0.000      0.000      0.000
SNB10_se0_hardsigmoid0__clip                      1            -1           160           160           0.000      0.000      0.000      0.000
SNB10_se0_hardsigmoid0__divscalar0                1            -1           160           160           0.000      0.000      0.000      0.000
SNB11_conv0_fwd                                  14             1           160           192           0.061      6.021      5.983     12.005
SNB11_hardswish0__plusscalar0                    14            -1           192           192           0.000      0.000      0.038      0.038
SNB11_hardswish0__clip                           14            -1           192           192           0.000      0.038      0.000      0.038
SNB11_hardswish0__divscalar0                     14            -1           192           192           0.000      0.038      0.000      0.038
SNB11_hardswish0__mul0                           14            -1           192           192           0.000      0.038      0.000      0.038
SNB11_conv1_fwd                                  14             5           192             1           0.010      0.941      0.903      1.844
